name,name_corrected,alpha_2,alpha_3,country_code,iso_3166_2,region,sub_region,intermediate_region,region_code,sub_region_code,intermediate_region_code,airport.n,airport_souce,area.2020,area_souce,seaport.n,seaport_souce,GADM.clim_ncell,GADM.clim_ncellNA,GADM.clim_ncellAVL,wc2.1_10m_bio_1,wc2.1_10m_bio_12,clim_souce,wto.member,wto.year,wto_souce,Total_Population_1.July_1k_pop_2016,Total_Population_1.July_1k_pop_2017,Total_Population_1.July_1k_pop_2018,Total_Population_1.July_1k_pop_2019,Total_Population_1.July_1k_pop_2020,Area_km2_pop_2016,Area_km2_pop_2017,Area_km2_pop_2018,Area_km2_pop_2019,Area_km2_pop_2020,population_density_km2_pop_2016,population_density_km2_pop_2017,population_density_km2_pop_2018,population_density_km2_pop_2019,population_density_km2_pop_2020,mean.population_1k,mean.area_km2,mean.population.density_km2,population_souce,HS_06,HS_07,HS_08,HS_12,HS_TOTAL,HS_06_cpi2016,HS_07_cpi2016,HS_08_cpi2016,HS_12_cpi2016,HS_TOTAL_cpi2016,HS_TOTAL.n,years.used,trade_souce,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop.mean,Pop.and.GDP.source,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp.mean,gdp.n,gdp.years.used,gdp_2016_cpi2016,gdp_2017_cpi2016,gdp_2018_cpi2016,gdp_2019_cpi2016,gdp_2020_cpi2016,gdp.mean_cpi2016,island,island.source,HS_06_n_importers_avg,HS_07_n_importers_avg,HS_08_n_importers_avg,HS_12_n_importers_avg,HS_TOTAL_n_importers_avg,HS_06_shannon_avg,HS_07_shannon_avg,HS_08_shannon_avg,HS_12_shannon_avg,HS_TOTAL_shannon_avg,HS_06_simpson_avg,HS_07_simpson_avg,HS_08_simpson_avg,HS_12_simpson_avg,HS_TOTAL_simpson_avg,HS_06_evenness_avg,HS_07_evenness_avg,HS_08_evenness_avg,HS_12_evenness_avg,HS_TOTAL_evenness_avg,HS_06_total_trade_cpi2016_avg,HS_07_total_trade_cpi2016_avg,HS_08_total_trade_cpi2016_avg,HS_12_total_trade_cpi2016_avg,HS_TOTAL_total_trade_cpi2016_avg,Observed_SR,Observed_PD,Observed_MPD,Observed_MNTD,Null_mean_PD,Null_mean_MPD,Null_mean_MNTD,Null_sd_PD,Null_sd_MPD,Null_sd_MNTD,SES_PD,SES_MPD,SES_MNTD,P_value_PD,P_value_MPD,P_value_MNTD,n_rand
Malaysia,Malaysia,MY,MYS,458,ISO 3166-2:MY,Asia,South-eastern Asia,NA,142,35,NA,69,Global Airport Database,330241,the Food and Agriculture Organization (FAO) of the United Nations,35,Maritime Safety Information,2332800,2331832,968,25.53784348,2877.618802,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,31526.42,31975.81,32399.27,32804.02,33199.99,328537.0988,328563.6046,328559.6795,328532.9995,328550.1237,95.96,97.32,98.61000001,99.85,101.05,32381.102,328548.7012,98.558,World Trade Organization,13016480.99,909311787,753670319.2,561713329.8,1.9531E+11,12452738.76,874334221.8,722669542.8,539968018.6,1.87293E+11,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,31187.265,31104.654,31528.032,31949.789,32365.997,31627.1474,Gravity database,296359133.2,319112136.5,358791513.2,365276379.5,337006023.8,335309037.2,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,296359133.2,312457023.8,342932827.5,342917476.5,312522040.2,321437700.2,no,NA,24.8,69.8,74.6,60.6,198.4,1.428826169,1.846264088,2.663130536,2.024362639,2.968574328,0.63069901,0.6760482,0.892887223,0.772089229,0.907244465,0.445471764,0.43494026,0.618055936,0.492903172,0.561145915,12121584.56,871079896.9,719103430.8,527542470.8,1.70989E+11,19,2248.121768,300.446109,171.4881648,1945.526577,263.9838536,157.7579557,313.1812143,33.94252561,27.88324432,0.966198408,1.074235188,0.492417916,0.196,0.124,0.283,999
Maldives,Maldives,MV,MDV,462,ISO 3166-2:MV,Asia,Southern Asia,NA,142,34,NA,4,Global Airport Database,300,the Food and Agriculture Organization (FAO) of the United Nations,1,Maritime Safety Information,2332800,2332798,2,28.08214283,2107,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,454.25,472.44,489.76,504.51,514.44,299.9973583,299.998095,300.0006125,300.0017839,300.0017495,1514.18,1574.81,1632.53,1681.69,1714.79,487.08,299.9999198,1623.6,World Trade Organization,3010892.99,51572087.6,51891882.46,2076604.123,2434724070,2882048.355,49466595.42,49802423.4,1990733.415,2336656400,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,417.492,496.398,515.704,530.957,540.542,500.2186,Gravity database,3591112.704,4754175.869,5300962.66,5607762.625,3742769.967,4599356.765,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,3591112.704,4655027.097,5066658.62,5264506.319,3470852.221,4409631.392,yes,https://wikimili.com/en/List_of_island_countries,24.8,43.8,52.6,36.2,114.8,2.117601833,2.079933968,2.366984284,2.086997928,2.766204863,0.836629334,0.814938946,0.860214685,0.813477891,0.902079321,0.663908664,0.550809308,0.598146769,0.582787297,0.583244336,2877337.462,49456673.1,49786570.08,1969493.023,2298279018,22,2196.092059,240.2295121,135.493306,2231.967771,270.5019822,153.1886712,341.5474488,34.35643953,25.55597325,-0.105038735,-0.881129435,-0.692416019,0.505,0.806,0.751,999
Mali,Mali,ML,MLI,466,ISO 3166-2:ML,Africa,Sub-Saharan Africa,Western Africa,2,202,11,34,Global Airport Database,1240190,the Food and Agriculture Organization (FAO) of the United Nations,NA,NA,2332800,2328972,3828,28.40420922,288.5208986,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,18700.11,19311.36,19934.3,20567.42,21224.04,1219837.573,1219921.668,1219969.4,1219894.425,1220473.836,15.33,15.83,16.34,16.86,17.38999999,19947.446,1220019.38,16.35,World Trade Organization,98358.6245,33533355.08,8376655.584,9338187.485,4462458184,96906.18062,32502332.63,8098957.352,9041929.87,4311547996,4,2016; 2017; 2018; 2019,UN Comtrade,17994.837,18512.428,19077.755,19658.024,20250.834,19098.7756,Gravity database,14045097.98,15365713.06,17070867.58,17280250.81,17465392.78,16245464.44,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,14045097.98,15045259.71,16316330.43,16222510.77,16196506.29,15565141.04,no,NA,4.25,26.25,25.5,20.5,152.75,0.636383597,1.7803941,1.678875217,1.53471647,3.00151599,0.340354331,0.741862513,0.733696852,0.6889218,0.905082016,0.443338241,0.544504768,0.517947358,0.507739103,0.597154152,94825.18062,32474225.38,8075755.602,9037457.995,4294332541,11,1637.624321,413.6739949,164.0049229,1268.568618,268.5420923,184.3881666,256.1079446,46.76917465,37.13128239,1.441016223,3.103152958,-0.548950705,0.129,0.011,0.693,999
Malta,Malta,MT,MLT,470,ISO 3166-2:MT,Europe,Southern Europe,NA,150,39,NA,3,Global Airport Database,320,the Food and Agriculture Organization (FAO) of the United Nations,2,Maritime Safety Information,2332800,2332799,1,18.6658268,535,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,467.71,479.5,491.59,503.64,515.36,315.0028961,315.0025292,315.0026593,315.0033774,315.0006723,1484.78,1522.21,1560.59,1598.84,1636.06,491.56,315.0024269,1560.496,World Trade Organization,4929578.628,25562789.06,44627653.31,6778427.419,7032193950,4718711.84,24515951.76,42870824.43,6505035.732,6756163079,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,436.947,467.999,484.63,504.062,515.332,481.794,Gravity database,10949092.35,13505056.44,15301279.48,15719500.92,14917038.5,14078393.54,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,10949092.35,13223407.26,14624958.62,14757295.82,13833293.71,13477609.55,yes,https://wikimili.com/en/Island_country,15.4,35.4,45,31,154,0.935167855,1.657896874,1.973930649,1.946572806,3.161397893,0.537952794,0.726956045,0.762559495,0.782487387,0.919538927,0.350669676,0.467038195,0.519103783,0.567457052,0.627829901,4717387.029,24515951.16,42870794.36,6505035.532,6691813805,37,3179.581547,245.8581102,107.9767056,3378.634398,271.9345562,134.461673,392.4578376,27.53978913,18.11487668,-0.507195505,-0.946864403,-1.462056175,0.683,0.738,0.93,999
Marshall Islands,Marshall Islands,MH,MHL,584,ISO 3166-2:MH,Oceania,Micronesia,NA,9,57,NA,4,Global Airport Database,180,the Food and Agriculture Organization (FAO) of the United Nations,3,Maritime Safety Information,2332800,2332799,1,27.54999924,3754,WorldClim_v2.1 10 mins,NA,NA,World Trade Organization,48.33,47.19,45.99,44.73,43.41,180.0067042,180.0114438,180.0070453,180.0072438,179.9825863,268.4899999,262.15,255.49,248.4899999,241.1900001,45.93,180.0030047,255.162,World Trade Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UN Comtrade,53.066,58.053,58.412,58.791,59.194,57.5032,Gravity database,183000,213204.1,221588.9,239462.2,244462.4,220343.52,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,183000,208757.709,211794.6083,224804.4986,226701.8469,211011.7326,yes,https://wikimili.com/en/List_of_island_countries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martinique,Martinique,MQ,MTQ,474,ISO 3166-2:MQ,Americas,Latin America and the Caribbean,Caribbean,19,419,29,1,Global Airport Database,NA,NA,1,Maritime Safety Information,2332800,2332797,3,25.64730771,2028,WorldClim_v2.1 10 mins,NA,NA,World Trade Organization,380.35,377.45,374.84,372.25,370.39,1060.00223,1059.984835,1060.007918,1060.027907,1059.983402,358.8199998,356.0900001,353.62,351.1699999,349.4299998,375.056,1060.001258,353.8259999,World Trade Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UN Comtrade,NA,NA,NA,NA,NA,NA,Gravity database,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauritania,Mauritania,MR,MRT,478,ISO 3166-2:MR,Africa,Sub-Saharan Africa,Western Africa,2,202,11,21,Global Airport Database,1030700,the Food and Agriculture Organization (FAO) of the United Nations,2,Maritime Safety Information,2332800,2329557,3243,27.71037652,84.21307431,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,4051.89,4160.02,4270.71,4383.85,4498.6,1031015.267,1029707.921,1031572.464,1031494.118,1029427.918,3.930000001,4.039999999,4.139999999,4.249999999,4.369999998,4273.014,1030643.538,4.145999999,World Trade Organization,35874.713,45597311.46,9367073.614,168930.1266,3028695932,34797.32977,43451964.28,8954880.853,160549.064,2902899641,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,4301.018,4282.582,4403.312,4525.698,4649.66,4432.454,Gravity database,4634588.16,6800135.962,7352533.586,7889655.284,7915985.514,6918579.701,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,4634588.16,6658318.505,7027549.534,7406722.231,7340877.518,6613611.19,no,NA,3.4,17,19.8,6.6,131,0.681862244,0.992375211,2.196763473,1.081777004,3.114089341,0.389415706,0.545414673,0.862305968,0.555555247,0.93080366,0.655122155,0.350397719,0.736523572,0.590231425,0.638909953,34797.32958,43451964.48,8954880.453,160549.0642,2901356510,3,927.248258,611.4420947,441.4791113,404.5845515,269.7163109,240.3655653,145.2909469,96.8366509,67.26029557,3.597359076,3.528888913,2.990078237,0.007,0.022,0.018,999
Mauritius,Mauritius,MU,MUS,480,ISO 3166-2:MU,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14,2,Global Airport Database,2040,the Food and Agriculture Organization (FAO) of the United Nations,2,Maritime Safety Information,2332800,2332794,6,22.57883167,1708.166667,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,1293.91,1294.74,1295.38,1296.28,1297.83,2029.981174,2030.009407,2029.994358,2030.005011,2030.016267,637.3999998,637.8000001,638.1200001,638.5600001,639.3200001,1295.628,2030.001243,638.2400001,World Trade Organization,2019366.014,34566344.22,35037646.66,5881498.983,5083662993,1938252.75,33171486.12,33609973.04,5638076.474,4881622148,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,1263.473,1264.613,1265.303,1265.711,1265.74,1264.968,Gravity database,12164207.62,13259351.42,14181951.06,14045808.84,10926820.6,12915627.91,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,12164207.62,12982826.43,13555104.83,13186051.97,10132971.01,12404232.37,yes,https://wikimili.com/en/List_of_island_countries,16.4,51.4,50.8,52.8,177.4,1.656580508,2.422611081,1.94633382,2.594502134,3.144863083,0.733856712,0.865947364,0.692452706,0.870655538,0.920627445,0.596562917,0.615287,0.495850942,0.654866588,0.607319611,1917790.657,33155316.23,33605248.18,5620964.249,4781926246,42,3785.807371,290.7709171,118.8627687,3655.817852,266.6619301,127.8295461,387.5813223,22.62688409,15.90495992,0.335386437,1.065501858,-0.563772401,0.389,0.138,0.705,999
Mayotte,Mayotte,YT,MYT,175,ISO 3166-2:YT,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14,1,Global Airport Database,NA,NA,NA,NA,2332800,2332798,2,25.35164928,1399.5,WorldClim_v2.1 10 mins,NA,NA,World Trade Organization,260.28,271.57,282.95,294.49,305.59,374.9945972,375.0086306,374.9917169,375.0031835,375.0030679,694.0900001,724.1699999,754.55,785.3,814.8999999,282.976,375.0002392,754.602,World Trade Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UN Comtrade,NA,NA,NA,NA,NA,NA,Gravity database,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,MX,MEX,484,ISO 3166-2:MX,Americas,Latin America and the Caribbean,Central America,19,419,13,82,Global Airport Database,1964375,the Food and Agriculture Organization (FAO) of the United Nations,31,Maritime Safety Information,2332800,2326534,6266,20.36462104,755.3392914,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,121519.22,122839.26,124013.86,125085.31,125998.3,1959355.369,1959158.852,1959144.708,1959356.36,1959233.401,62.02000001,62.69999999,63.29999999,63.83999999,64.30999999,123891.19,1959249.738,63.23399999,World Trade Organization,129756139.4,491233817,1094751663,3357000943,4.21998E+11,124307164.3,470532829.8,1048873770,3217832407,4.05003E+11,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,127540.421,124777.328,126190.781,127575.531,128932.755,127003.3632,Gravity database,1045998076,1158913036,1222408203,1269404277,1087117783,1156768275,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,1045998076,1134743799,1168377417,1191702874,1008137076,1109791848,no,NA,18,25.2,27.4,46,201.8,1.143126095,1.057540917,0.810454364,1.43143892,2.178952484,0.563863363,0.429804045,0.324986319,0.572960952,0.739412947,0.395730341,0.328345793,0.244998079,0.373902579,0.410571817,123280617.6,468600408.9,1045868681,3210179530,3.96111E+11,124,6587.612962,251.7653324,68.05412521,8052.277805,269.5556026,89.09520351,432.1857975,13.93998531,7.106555199,-3.388970325,-1.276204376,-2.960798546,0.998,0.916,0.998,999
Micronesia (Federated States of),Micronesia (Federated States of),FM,FSM,583,ISO 3166-2:FM,Oceania,Micronesia,NA,9,57,NA,4,Global Airport Database,700,the Food and Agriculture Organization (FAO) of the United Nations,4,Maritime Safety Information,2332800,2332799,1,26.3953476,4594,WorldClim_v2.1 10 mins,NA,NA,World Trade Organization,109.93,110.43,110.93,111.38,112.11,700.0127356,699.9873225,700.0063103,700.0188549,700.0312207,157.04,157.76,158.47,159.11,160.15,110.956,700.0112888,158.506,World Trade Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UN Comtrade,104.937,111.461,112.64,113.811,115.021,111.574,Gravity database,322000,366666.8,401932.3,412479.413,407515.928,382118.8882,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,322000,359019.9304,384166.7793,387231.1689,377909.2962,366065.435,yes,https://wikimili.com/en/Federated_States_of_Micronesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moldova, Republic of","Moldova, Republic of",MD,MDA,498,ISO 3166-2:MD,Europe,Eastern Europe,NA,150,151,NA,9,Global Airport Database,33850,the Food and Agriculture Organization (FAO) of the United Nations,NA,NA,2332800,2332651,149,9.219507755,552.2885906,WorldClim_v2.1 10 mins,yes,2001,World Trade Organization,3225.12,3180.51,3141.84,3109.49,3084.85,32882.54486,32880.28533,32881.63265,32880.30031,32880.51588,98.08,96.73,95.55000001,94.56999999,93.82,3148.362,32881.05581,95.75,World Trade Organization,16212201.8,48684909,65332510.2,40102426.6,5174906821,15473758.22,46372655.61,62405895.79,38419952.39,4953577579,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,3552,2755.158,2708.214,2664.974,2620.495,2860.1682,Gravity database,6749515.776,9669741.744,11457443.19,11971345,11859730.54,10341555.25,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,6749515.776,9468078.396,10951020.97,11238567.97,10998103.67,9881057.357,no,NA,55.8,54.4,77,57.8,167.6,1.946348577,2.382799542,2.585008223,2.512450869,3.036151442,0.738109581,0.849369263,0.88036504,0.872526207,0.924001573,0.483881686,0.596825848,0.59557812,0.619596269,0.592844293,15449511.22,46355861,60393314.86,37969945.26,4924508213,7,1085.914569,414.0787575,101.1733406,876.1082276,272.4806392,207.7962381,222.881891,64.18850637,48.65361452,0.941334177,2.205973099,-2.191469197,0.195,0.023,0.994,999
Monaco,Monaco,MC,MCO,492,ISO 3166-2:MC,Europe,Western Europe,NA,150,155,NA,1,Global Airport Database,74.92,the Food and Agriculture Organization (FAO) of the United Nations,1,Maritime Safety Information,2332800,2332800,0,NA,NA,WorldClim_v2.1 10 mins,NA,NA,World Trade Organization,37.07,37.04,37.03,37.03,36.92,1.489979915,1.489819034,1.49004011,1.48983928,1.489919035,24879.53,24862.07999,24851.68,24855.03,24779.87,37.018,1.489919475,24845.638,World Trade Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UN Comtrade,38.499,38.392,38.682,38.967,39.244,38.7568,Gravity database,NA,6431314.957,7194024.563,7383745.662,6816219.303,6956326.121,4,gdp_2017; gdp_2018; gdp_2019; gdp_2020,NA,6297189.296,6876046.655,6931779.802,6321010.94,6606506.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mongolia,Mongolia,MN,MNG,496,ISO 3166-2:MN,Asia,Eastern Asia,NA,142,30,NA,1,Global Airport Database,1564115.749,the Food and Agriculture Organization (FAO) of the United Nations,NA,NA,2332800,2326152,6648,0.058292753,199.3068592,WorldClim_v2.1 10 mins,yes,1997,World Trade Organization,3029.56,3096.03,3163.99,3232.43,3294.34,1553620.513,1555793.97,1558615.764,1554052.885,1553933.962,1.95,1.99,2.029999999,2.079999999,2.12,3163.27,1555203.419,2.034,World Trade Organization,284114.048,15358438.29,18068783.89,2859267.256,4995567643,272808.3701,14715529.91,17311582.09,2732871.004,4773538232,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,3027.398,3113.788,3170.214,3225.166,3278.292,3162.9716,Gravity database,11160356.86,11480847.75,13178094.46,14206359.01,13312981.6,12667727.93,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,11160356.86,11241413.62,12595618.98,13336774.71,12345773.89,12135987.61,NA,NA,15.4,27.4,62.4,32.8,145,1.628985249,0.480023916,2.67290412,1.652868746,2.260588655,0.734626799,0.175519967,0.883083133,0.703710235,0.797032168,0.602598043,0.145064541,0.648704319,0.474395516,0.454321675,272808.3701,14715529.91,17309265.6,2732871.204,4753521074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montenegro,Montenegro,ME,MNE,499,ISO 3166-2:ME,Europe,Southern Europe,NA,150,39,NA,2,Global Airport Database,13810,the Food and Agriculture Organization (FAO) of the United Nations,4,Maritime Safety Information,2332800,2332745,55,8.714556278,1189.254545,WorldClim_v2.1 10 mins,yes,2012,World Trade Organization,633.26,632.44,631.46,630.4,629.05,13811.55943,13811.74929,13811.46107,13812.44522,13813.13131,45.85000001,45.79,45.71999999,45.64000001,45.54000001,631.322,13812.06926,45.708,World Trade Organization,6542721.782,22859237.32,33841947.84,3988673.896,2639696893,6255431.232,21917918.86,32494297.16,3822147.768,2531869947,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,622.781,622.373,622.227,622.028,621.306,622.143,Gravity database,4173255.424,4856602.179,5506944.403,5542201.151,4780722.122,4971945.056,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,4173255.424,4755317.297,5263535.912,5202957.924,4433395.625,4765692.436,no,NA,48.6,58.2,71.6,63.4,177.2,1.748708007,2.315573379,2.899105651,2.307452763,3.049867447,0.74428846,0.825391281,0.918266304,0.779753106,0.917671396,0.451061405,0.570145999,0.678772343,0.556580836,0.589147641,6255425.006,21669649.82,32424881.54,3803926.143,2519796765,22,1882.457395,224.8482507,108.144858,2271.139127,274.1509806,155.4955371,340.7043662,36.82637135,25.71283469,-1.140818172,-1.338788702,-1.841519214,0.865,0.997,0.981,999
Montserrat,Montserrat,MS,MSR,500,ISO 3166-2:MS,Americas,Latin America and the Caribbean,Caribbean,19,419,29,1,Global Airport Database,NA,NA,NA,NA,2332800,2332800,0,NA,NA,WorldClim_v2.1 10 mins,NA,NA,World Trade Organization,5.09,4.7,4.36,4.51,4.5,103.1199352,103.024989,103.0245747,103.1328607,102.9983978,49.35999999,45.62000002,42.31999999,43.73000002,43.69,4.632,103.0601515,44.944,World Trade Organization,7812.3408,477691.404,197657.1188,21653.2962,32993080.13,7543.907318,457773.528,189843.2302,20639.11444,31708589.79,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,NA,NA,NA,NA,NA,NA,Gravity database,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,9,9.2,6.4,51,0.619560911,0.583793354,0.437991638,0.74254127,1.598509489,0.395846745,0.283269616,0.166942233,0.373282361,0.551781552,0.901337082,0.268473982,0.197450337,0.401270098,0.406464368,2123.20011,446989.1842,189493.0226,20418.79292,31510346.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,Morocco,MA,MAR,504,ISO 3166-2:MA,Africa,Northern Africa,NA,2,15,NA,30,Global Airport Database,446550,the Food and Agriculture Organization (FAO) of the United Nations,12,Maritime Safety Information,2332800,2331382,1418,17.30041382,290.9844852,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,35107.26,35528.12,35927.51,36304.41,36688.77,446316.5523,446277.1009,446304.472,446274.2471,446281.1094,78.65999999,79.60999999,80.50000001,81.35,82.20999999,35911.214,446290.6963,80.466,World Trade Organization,77905966.14,142262459,286811896.8,171825607.6,46720721549,74555046.55,136436108,273128441.4,164515912.7,44807496666,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,35276.787,35581.257,36029.091,36471.767,36910.557,36053.8918,Gravity database,101445001.2,109682728,118096227.4,119870439.1,114725065.3,112763892.2,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,101445001.2,107395284.7,112876340.9,112533059.3,106390120.5,108127961.3,no,NA,30.6,45.4,74.8,74.6,181.6,1.250595341,2.106446523,2.681312975,2.939458476,3.230702286,0.552693367,0.818425304,0.88157879,0.921619458,0.930284142,0.366489092,0.552855015,0.621410385,0.681669371,0.62109284,74555046.75,119238996.9,273128442.2,164494781.4,44536596848,13,1603.93898,301.008191,162.5761547,1478.732801,270.6090461,180.2954417,286.8778886,44.09099304,35.4572946,0.436444157,0.689463831,-0.499736012,0.331,0.315,0.658,999
Mozambique,Mozambique,MZ,MOZ,508,ISO 3166-2:MZ,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14,26,Global Airport Database,799380,the Food and Agriculture Organization (FAO) of the United Nations,11,Maritime Safety Information,2332800,2330388,2412,23.91565195,972.2927032,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,27696.49,28569.44,29423.88,30285.6,31178.24,786385.2924,786387.008,786314.2704,786434.6923,786336.4439,35.22,36.33,37.42,38.51,39.65,29430.73,786371.5414,37.426,World Trade Organization,2129173.931,43612471.34,6632917.435,9812919.723,6595876997,2023822.568,41816742.33,6339429.61,9413129.934,6314695420,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,28829.475,28649.008,29496.01,30366.043,31255.436,29719.1944,Gravity database,11014858.75,13219079.5,14845400.59,15390031.04,14028811.07,13699636.19,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,11014858.75,12943394.39,14189229.71,14447993.09,13009597.3,13121014.65,no,NA,9.6,27,20.8,28.2,192.8,0.616101312,0.454689307,0.413881474,1.746297667,2.874133686,0.302896288,0.177341093,0.14885717,0.717800905,0.878830958,0.277689775,0.137870891,0.136933778,0.523271587,0.546349452,1884843.365,41803128.37,6330507.495,9413129.934,6248541114,17,1714.769206,313.3820129,95.92911047,1792.836701,265.207935,163.9416569,295.3609397,35.16426413,29.09027869,-0.264312183,1.369972587,-2.337981946,0.485,0.078,0.999,999
Myanmar,Myanmar,MM,MMR,104,ISO 3166-2:MM,Asia,South-eastern Asia,NA,142,35,NA,73,Global Airport Database,676590,the Food and Agriculture Organization (FAO) of the United Nations,6,Maritime Safety Information,2332800,2330703,2097,23.18345302,2033.909871,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,51892.35,52288.34,52666.01,53040.21,53423.2,653309.2031,653277.6112,653262.3419,653285.0105,653255.0746,79.43,80.04,80.61999999,81.19,81.78,52662.022,653277.8483,80.612,World Trade Organization,2097562.453,23305401.79,53658134.67,22640926.52,18176782128,2014945.523,22938886.45,51542455.48,21666225.76,17436446684,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,52885.223,53382.523,53708.317,54045.422,54409.794,53686.2558,Gravity database,67429588.99,61449392.06,67144725.83,68697759.36,78930257.23,68730344.69,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,67429588.99,60167859.37,64176910.07,64492706.36,73195857.89,65892584.54,no,NA,7,27,28.2,29.6,167.2,0.472165646,2.130570969,0.771780294,2.183324085,2.350079685,0.243999713,0.823309839,0.297470507,0.809030093,0.828584451,0.257705961,0.649122848,0.233280697,0.650348526,0.459350627,2010358.133,22884072.46,51539173.37,21385949.97,17285847554,46,3170.417764,236.6905046,94.85661094,3908.443728,267.0250304,123.5263843,415.9007726,23.60567,15.80015524,-1.774524147,-1.285052523,-1.814524793,0.966,0.965,0.965,999
